libellé métier,lien site onisep.fr,nom publication,collection,année,gencod,GFE,code ROME,libellé ROME,lien ROME
chauffeur / chauffeuse de taxi,http://www.onisep.fr/http/redirection/metier/identifiant/10116,Les métiers du transport et de la logistique,Parcours,2016,9782273012836,"O : Transport, logistique",N4102,Conduite de transport de particuliers,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=N4102
webmestre,http://www.onisep.fr/http/redirection/metier/identifiant/10195,Les métiers du web,Parcours,2015,9782273012270,"U : Communication, médias",E1104,Conception de contenus multimédias,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1104
attaché / attachée de presse,http://www.onisep.fr/http/redirection/metier/identifiant/10192,Les métiers du livre,Parcours,2017,9782273013260,"U : Communication, médias",E1103,Communication,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1103
bibliothécaire,http://www.onisep.fr/http/redirection/metier/identifiant/10189,Les métiers du livre,Parcours,2017,9782273013260,"P : Gestion et traitement de l'information (informatique, statistique, documentation)",K1601,Gestion de l'information et de la documentation,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1601
technicien / technicienne de maintenance industrielle,http://www.onisep.fr/http/redirection/metier/identifiant/100283,Les métiers de l'énergie,Parcours,2016,9782273012812,F : Mécanique,I1304,Installation et maintenance d'équipements industriels et d'exploitation,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=I1304
cordonnier / cordonnière,http://www.onisep.fr/http/redirection/metier/identifiant/10397,Les métiers de la mode et du luxe,Parcours,2014,9782273011860,"L : Textile, habillement, cuir",D1206,Réparation d'articles en cuir et matériaux souples,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=D1206
modéliste,http://www.onisep.fr/http/redirection/metier/identifiant/10393,Les métiers de la mode et du luxe,Parcours,2014,9782273011860,"L : Textile, habillement, cuir",H1205,Études - modèles en industrie des matériaux souples,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H1205
journaliste reporter / reportrice d'images,http://www.onisep.fr/http/redirection/metier/identifiant/10198,Les métiers de l'information et de la communication,Parcours,2018,9782273013901,"U : Communication, médias",E1106,Journalisme et information média,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1106
tailleur / tailleuse de pierre,http://www.onisep.fr/http/redirection/metier/identifiant/10021,,Fiches métiers / onisep.fr,,,C : Bâtiment,F1612,Taille et décoration de pierres,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=F1612
visiteur médical / visiteuse médicale,http://www.onisep.fr/http/redirection/metier/identifiant/10237,Les métiers du paramédical,Parcours,2017,9782273013314,"R : Santé, social, soins personnels",D1405,Conseil en information médicale,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=D1405
ambulancier / ambulancière,http://www.onisep.fr/http/redirection/metier/identifiant/10236,Les métiers du transport et de la logistique,Zoom,2018,9782273013659,"R : Santé, social, soins personnels",J1305,Conduite de véhicules sanitaires,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=J1305
