NUMERO_UAI,Région,Département,Code_commune_Insee,Libellé Commune,Dénomination établissement,Patromyne établissement,Adresse_établissement,Code_postal,Type_établissement,Rep+,Rep,DISTANCE_QPV le plus proche,QPV,Qualité
0692159X,Auvergne-Rhône-Alpes,69,69286,RILLIEUX LA PAPE,COLLEGE,PAUL-EMILE VICTOR,3 BIS AVENUE GENERAL LECLERC,69140,COLLEGE,Oui,Non,"55,54872835",QP069028,BONNE
0691497C,Auvergne-Rhône-Alpes,69,69290,ST PRIEST,COLLEGE,COLETTE,23 RUE COLETTE,69800,COLLEGE,Non,Oui,"279,959762",QP069031,BONNE
0692578C,Auvergne-Rhône-Alpes,69,69387,LYON 7,COLLEGE,GABRIEL ROSSET,74 RUE CHALLEMEL LACOUR,69364,COLLEGE,Non,Oui,"163,2999453",QP069033,BONNE
0692340U,Auvergne-Rhône-Alpes,69,69388,LYON 8,COLLEGE,HENRI LONGCHAMBON,24 RUE STEPHANE COIGNET,69008,COLLEGE,Oui,Non,0,QP069035,BONNE
0690060R,Auvergne-Rhône-Alpes,69,69388,LYON 8,COLLEGE,JEAN MERMOZ,192 BOULEVARD PINEL,69008,COLLEGE,Non,Oui,"178,3920503",QP069036,BONNE
0690036P,Auvergne-Rhône-Alpes,69,69389,LYON 9,COLLEGE,VICTOR SCHOELCHER,273 RUE VICTOR SCHOELCHER,69009,COLLEGE,Oui,Non,"35,87568885",QP069037,BONNE
0700010F,Bourgogne-Franche-Comté,70,70279,GRAY,COLLEGE,ROME DE L'ISLE,18 AVENUE DU MARECHAL LECLERC,70104,COLLEGE,Non,Oui,"45,30746521",QP070005,BONNE
0700045U,Bourgogne-Franche-Comté,70,70310,LURE,COLLEGE,ALBERT JACQUARD,4 RUE JEAN MOULIN,70204,COLLEGE,Non,Oui,0,QP070002,BONNE
0700786Z,Bourgogne-Franche-Comté,70,70550,VESOUL,COLLEGE,JACQUES BREL,4 RUE BIANKOUMA / SIPILOU,70014,COLLEGE,Non,Oui,"9,091037347",QP070001,MOYENNE
0711294W,Bourgogne-Franche-Comté,71,71014,AUTUN,COLLEGE,DU VALLON,AVENUE DE LA REPUBLIQUE,71401,COLLEGE,Non,Oui,"137,6143768",QP071008,BONNE
0710536X,Bourgogne-Franche-Comté,71,71076,CHALON SUR SAONE,COLLEGE,JACQUES PREVERT,20 RUE DE DEMIGNY,71321,COLLEGE,Non,Oui,"28,92895063",QP071002,MOYENNE
0710534V,Bourgogne-Franche-Comté,71,71270,MACON,COLLEGE,ROBERT SCHUMAN,17 PLACE ROBERT  SCHUMAN,71018,COLLEGE,Non,Oui,"132,7298354",QP071007,MOYENNE
0720001K,Pays de la Loire,72,72003,ALLONNES,COLLEGE,JOHN KENNEDY,11 BOULEVARD D ANJOU,72700,COLLEGE,Non,Oui,0,QP072002,BONNE
0721224P,Pays de la Loire,72,72003,ALLONNES,COLLEGE,LE MARIN,AVENUE FRANCOIS CEVERT,72700,COLLEGE,Non,Oui,0,QP072002,BONNE
0720081X,Pays de la Loire,72,72181,LE MANS,COLLEGE,ALAIN-FOURNIER,14 RUE COPERNIC,72100,COLLEGE,Oui,Non,0,QP072005,BONNE
0720885W,Pays de la Loire,72,72181,LE MANS,COLLEGE,LE RONCERAY,72 RUE MARC SANGNIER,72100,COLLEGE,Oui,Non,0,QP072004,BONNE
0720987G,Pays de la Loire,72,72181,LE MANS,COLLEGE,COSTA-GAVRAS,10 ALL+E DU VAL D'HUISNE,72100,COLLEGE,Oui,Non,0,QP072005,BONNE
0720797A,Pays de la Loire,72,72181,LE MANS,COLLEGE,VAUGUYON,9 RUE JACQUES MILLET,72100,COLLEGE,Oui,Non,"20,99790045",QP072004,BONNE
0730901H,Auvergne-Rhône-Alpes,73,73065,CHAMBERY,COLLEGE,COTE ROUSSE,244 AVENUE DANIEL ROPS,73000,COLLEGE,Oui,Non,"146,2441444",QP073002,BONNE
0750465Y,Île-de-France,75,75111,PARIS 11,COLLEGE,LUCIE ET RAYMOND AUBRAC,62 RUE DE LA FONTAINE AU ROI,75011,COLLEGE,Non,Oui,"50,35111964",QP075020,BONNE
0753937X,Île-de-France,75,75113,PARIS 13,COLLEGE,EVARISTE GALOIS,11 RUE DU DOCTEUR BOURNEVILLE,75013,COLLEGE,Non,Oui,0,QP075004,BONNE
0752694W,Île-de-France,75,75113,PARIS 13,COLLEGE,CAMILLE CLAUDEL,4 BIS AVENUE DE CHOISY,75013,COLLEGE,Non,Oui,"196,6673844",QP075003,BONNE
0752544H,Île-de-France,75,75114,PARIS 14,COLLEGE,FRANCOIS VILLON,10 AVENUE MARC SANGNIER,75014,COLLEGE,Non,Oui,"4,416488041",QP075007,MOYENNE
0751793S,Île-de-France,75,75118,PARIS 18,COLLEGE,MAURICE UTRILLO,4 AVENUE DE LA PTE DE CLIGNANCOU,75018,COLLEGE,Oui,Non,0,QP075010,MOYENNE
0750546L,Île-de-France,75,75118,PARIS 18,COLLEGE,GEORGES CLEMENCEAU,43 RUE DES POISSONNIERS,75018,COLLEGE,Oui,Non,"6,829745945",QP075012,BONNE
0755030K,Île-de-France,75,75118,PARIS 18,COLLEGE,DANIEL MAYER,2 PLACE HEBERT,75018,COLLEGE,Non,Oui,"21,99971973",QP075011,BONNE
0752252R,Île-de-France,75,75118,PARIS 18,COLLEGE,HECTOR BERLIOZ,17 RUE GEORGETTE AGUTTE,75018,COLLEGE,Non,Oui,"47,5933887",QP075010,BONNE
0752195D,Île-de-France,75,75118,PARIS 18,COLLEGE,GERARD PHILIPE,8 RUE DES AMIRAUX,75018,COLLEGE,Non,Oui,"101,8328087",QP075010,BONNE
0752196E,Île-de-France,75,75118,PARIS 18,COLLEGE,MARX DORMOY,55 RUE MARX DORMOY,75018,COLLEGE,Non,Oui,"211,2228666",QP075012,BONNE
0754706H,Île-de-France,75,75118,PARIS 18,COLLEGE,MARIE CURIE,21 RUE BOINOD,75018,COLLEGE,Non,Oui,"261,1361969",QP075010,BONNE
0752606A,Île-de-France,75,75119,PARIS 19,COLLEGE,GEORGES MELIES,45 RUE DE TANGER,75019,COLLEGE,Non,Oui,0,QP075014,MOYENNE
0753345D,Île-de-France,75,75119,PARIS 19,COLLEGE,EDMOND MICHELET,70 RUE DE L'OURCQ,75019,COLLEGE,Non,Oui,"33,30741423",QP075015,BONNE
0752695X,Île-de-France,75,75119,PARIS 19,COLLEGE,GUILLAUME BUDE,7 RUE JEAN QUARRE,75019,COLLEGE,Non,Oui,"67,69015695",QP075018,BONNE
0753938Y,Île-de-France,75,75119,PARIS 19,COLLEGE,GEORGES ROUAULT,3 RUE DU NOYER DURAND,75019,COLLEGE,Oui,Non,"79,33820614",QP075016,BONNE
0753939Z,Île-de-France,75,75120,PARIS 20,COLLEGE,JEAN PERRIN,6 RUE EUGENE REISZ,75020,COLLEGE,Non,Oui,0,QP075019,BONNE
0754355B,Île-de-France,75,75120,PARIS 20,COLLEGE,ROBERT DOISNEAU,51 RUE DES PANOYAUX,75020,COLLEGE,Non,Oui,"4,497946955",QP075020,MOYENNE
0752198G,Île-de-France,75,75120,PARIS 20,COLLEGE,PIERRE MENDES FRANCE,24 RUE LE VAU,75020,COLLEGE,Non,Oui,"12,84626929",QP075019,BONNE
0755241P,Île-de-France,75,75120,PARIS 20,COLLEGE,COLETTE BESSON,9 RUE DES PANOYAUX,75020,COLLEGE,Oui,Non,"46,5903809",QP075020,BONNE
0750552T,Île-de-France,75,75120,PARIS 20,COLLEGE,FRANCOISE DOLTO,354 RUE DES PYRENEES,75020,COLLEGE,Non,Oui,"95,93990464",QP075020,BONNE
0753046D,Île-de-France,75,75120,PARIS 20,COLLEGE,FLORA TRISTAN,4 RUE GALLERON,75020,COLLEGE,Non,Oui,"249,8464483",QP075019,BONNE
0750478M,Île-de-France,75,75120,PARIS 20,COLLEGE,JEAN-BAPTISTE CLEMENT,26 RUE HENRI CHEVREAU,75020,COLLEGE,Non,Oui,"287,8922488",QP075020,BONNE
0762089H,Normandie,76,76157,CANTELEU,COLLEGE,CHARLES GOUNOD,1 AVENUE CHARLES GOUNOD,76380,COLLEGE,Non,Oui,0,QP076011,MOYENNE
0760017F,Normandie,76,76157,CANTELEU,COLLEGE,LE CEDRE,PLACE MICHEL TOUYE,76380,COLLEGE,Non,Oui,"156,0276424",QP076011,BONNE
0762679Z,Normandie,76,76178,CLEON,COLLEGE,JACQUES BREL,ALL+E FREDERIC MISTRAL,76410,COLLEGE,Non,Oui,"190,8923148",QP076012,BONNE
0760026R,Normandie,76,76217,DIEPPE,COLLEGE,CLAUDE DELVINCOURT,18 RUE ROGER EVRARD,76200,COLLEGE,Non,Oui,0,QP076003,MOYENNE
0761703N,Normandie,76,76217,DIEPPE,COLLEGE,ALBERT CAMUS,AVENUE CHARLES NICOLLE,76370,COLLEGE,Oui,Non,"58,42875005",QP076002,MOYENNE
0762459K,Normandie,76,76231,ELBEUF,COLLEGE,NELSON MANDELA,1 RUE DE LA GARE,76500,COLLEGE,Oui,Non,"151,5235087",QP076014,BONNE
0761954L,Normandie,76,76305,GONFREVILLE L ORCHER,COLLEGE,GUSTAVE COURBET,16 AVENUE JACQUES EBERHARD,76700,COLLEGE,Non,Oui,0,QP076004,MOYENNE
0762080Y,Normandie,76,76319,GRAND COURONNE,COLLEGE,HENRI MATISSE,RUE DE SEELZE,76530,COLLEGE,Non,Oui,"70,36610449",QP076015,BONNE
0761700K,Normandie,76,76351,LE HAVRE,COLLEGE,GUY MOQUET,10 ALL+E GEORGES POLITZER,76610,COLLEGE,Oui,Non,0,QP076010,MOYENNE
0761782Z,Normandie,76,76351,LE HAVRE,COLLEGE,EUGENE VARLIN,3 RUE EUGENE VARLIN,76610,COLLEGE,Oui,Non,0,QP076010,BONNE
0762127Z,Normandie,76,76351,LE HAVRE,COLLEGE,HENRI WALLON,22 ALL+E HENRI WALLON,76620,COLLEGE,Oui,Non,0,QP076005,MOYENNE
0762173Z,Normandie,76,76351,LE HAVRE,COLLEGE,MARCEL PAGNOL,63 RUE GUSTAVE BRINDEAU,76600,COLLEGE,Oui,Non,"4,148123779",QP076006,MOYENNE
0762226G,Normandie,76,76351,LE HAVRE,COLLEGE,THEOPHILE GAUTIER,49 RUE THEOPHILE GAUTIER,76620,COLLEGE,Non,Oui,"4,333765365",QP076008,MOYENNE
0761698H,Normandie,76,76351,LE HAVRE,COLLEGE,GERARD PHILIPE,87 RUE LABEDOYERE,76600,COLLEGE,Non,Oui,"17,72555345",QP076006,MOYENNE
0760050S,Normandie,76,76351,LE HAVRE,COLLEGE,JULES VALLES,32 RUE JULES VALLES,76610,COLLEGE,Oui,Non,"89,09001745",QP076010,BONNE
0761783A,Normandie,76,76351,LE HAVRE,COLLEGE,JACQUES MONOD,66 RUE RENE VIVIANI,76071,COLLEGE,Oui,Non,"141,6267483",QP076006,BONNE
0761739C,Normandie,76,76351,LE HAVRE,COLLEGE,DESCARTES,39 RUE ARQUIS,76620,COLLEGE,Oui,Non,"239,9402763",QP076005,MOYENNE
0761781Y,Normandie,76,76351,LE HAVRE,COLLEGE,JEAN MOULIN,65 RUE SARAH BERNHARDT,76620,COLLEGE,Non,Oui,"291,0104063",QP076005,MOYENNE
0760075U,Normandie,76,76410,MAROMME,COLLEGE,ALAIN,PLACE ALAIN,76151,COLLEGE,Non,Oui,"135,2440264",QP076017,BONNE
0760083C,Normandie,76,76484,OISSEL,COLLEGE,JEAN CHARCOT,38 RUE DES VIOLETTES,76350,COLLEGE,Non,Oui,0,QP076019,MOYENNE
0761949F,Normandie,76,76498,LE PETIT QUEVILLY,COLLEGE,FERNAND LEGER,13 RUE AMPERE,76141,COLLEGE,Non,Oui,"139,4056827",QP076020,BONNE
0760100W,Normandie,76,76540,ROUEN,COLLEGE,BOIELDIEU,200 RUE ALBERT DUPUIS,76044,COLLEGE,Oui,Non,"21,41949398",QP076022,BONNE
0761780X,Normandie,76,76540,ROUEN,COLLEGE,GEORGES BRAQUE,RUE JEAN-PHILIPPE RAMEAU,76000,COLLEGE,Oui,Non,"62,34683271",QP076022,BONNE
0762132E,Normandie,76,76575,ST ETIENNE DU ROUVRAY,COLLEGE,ROBESPIERRE,1 RUE JULES RAIMU,76800,COLLEGE,Oui,Non,0,QP076023,BONNE
0762133F,Normandie,76,76575,ST ETIENNE DU ROUVRAY,COLLEGE,PABLO PICASSO,RUE FELIX FAURE,76800,COLLEGE,Non,Oui,"249,2209805",QP076025,BONNE
0771476L,Île-de-France,77,77152,DAMMARIE LES LYS,COLLEGE,GEORGES POLITZER,RUE DU MARECHAL JUIN,77190,COLLEGE,Non,Oui,"33,67438679",QP077008,BONNE
0770019C,Île-de-France,77,77152,DAMMARIE LES LYS,COLLEGE,ROBERT DOISNEAU,57 AVENUE EMILE ZOLA,77196,COLLEGE,Non,Oui,"299,1117631",QP077008,BONNE
0771029A,Île-de-France,77,77284,MEAUX,COLLEGE,HENRI DUNANT,67 AVENUE HENRI DUNANT,77100,COLLEGE,Oui,Non,"81,04396945",QP077013,BONNE
0771420A,Île-de-France,77,77284,MEAUX,COLLEGE,BEAUMARCHAIS,23 RUE BEAUMARCHAIS,77100,COLLEGE,Non,Oui,"82,1209046",QP077013,BONNE
0772056S,Île-de-France,77,77285,LE MEE SUR SEINE,COLLEGE,JEAN DE LA FONTAINE,260 RUE DU PRE RIGOT,77350,COLLEGE,Non,Oui,"45,04902328",QP077009,BONNE
0771337K,Île-de-France,77,77285,LE MEE SUR SEINE,COLLEGE,ELSA TRIOLET,145 AVENUE DE MARCHE MARAIS,77350,COLLEGE,Non,Oui,"56,37822731",QP077009,BONNE
0771070V,Île-de-France,77,77288,MELUN,COLLEGE,FREDERIC CHOPIN,1 RUE ROBERT SCHUMAN,77012,COLLEGE,Non,Oui,0,QP077010,BONNE
0771339M,Île-de-France,77,77288,MELUN,COLLEGE,PIERRE BROSSOLETTE,AVENUE PIERRE BROSSOLETTE,77011,COLLEGE,Non,Oui,"65,10257798",QP077012,BONNE
0770033T,Île-de-France,77,77288,MELUN,COLLEGE,LES CAPUCINS,ROUTE DE VOISENON,77000,COLLEGE,Oui,Non,"105,7979746",QP077010,BONNE
0771618R,Île-de-France,77,77296,MOISSY CRAMAYEL,COLLEGE,LES MAILLETTES,RUE DES MAILLETTES,77550,COLLEGE,Non,Oui,"257,6818681",QP077022,BONNE
0771761W,Île-de-France,77,77305,MONTEREAU FAULT YONNE,COLLEGE,ANDRE MALRAUX,AVENUE DU LYCEE,77871,COLLEGE,Oui,Non,0,QP077014,MOYENNE
0771841H,Île-de-France,77,77337,NOISIEL,COLLEGE,LE LUZARD,2 COURS DES ROCHES-NOISIEL,77448,COLLEGE,Non,Oui,"54,65843036",QP077005,BONNE
0771176K,Île-de-France,77,77379,PROVINS,COLLEGE,JULES VERNE,2 RUE CHARGOULOT,77160,COLLEGE,Non,Oui,"46,18167351",QP077017,BONNE
0772481D,Île-de-France,77,77379,PROVINS,COLLEGE,MARIE CURIE,6 RUE JACQUES BEURDELEY,77160,COLLEGE,Non,Oui,"91,06775407",QP077017,BONNE
0780032L,Île-de-France,78,78123,CARRIERES SOUS POISSY,COLLEGE,FLORA TRISTAN,595 RUE PASTEUR,78955,COLLEGE,Non,Oui,"272,2085182",QP078010,BONNE
0781108F,Île-de-France,78,78138,CHANTELOUP LES VIGNES,COLLEGE,RENE CASSIN,12 RUE DES PETITS PAS,78570,COLLEGE,Oui,Non,0,QP078011,BONNE
0781986K,Île-de-France,78,78138,CHANTELOUP LES VIGNES,COLLEGE,MAGELLAN,33 BIS AVENUE DE POISSY,78570,COLLEGE,Non,Oui,"4,016215994",QP078011,MOYENNE
0780255D,Île-de-France,78,78335,LIMAY,COLLEGE,ALBERT THIERRY,RUE ALBERT THIERRY,78520,COLLEGE,Non,Oui,"150,392324",QP078013,MOYENNE
0780417E,Île-de-France,78,78361,MANTES LA JOLIE,COLLEGE,PAUL CEZANNE,7 RUE PAUL GAUGUIN,78202,COLLEGE,Oui,Non,0,QP078001,BONNE
0781955B,Île-de-France,78,78361,MANTES LA JOLIE,COLLEGE,DE GASSICOURT,RUE MAURICE BRAUNSTEIN,78200,COLLEGE,Oui,Non,0,QP078001,BONNE
0781977A,Île-de-France,78,78361,MANTES LA JOLIE,COLLEGE,GEORGES CLEMENCEAU,35 BOULEVARD GEORGES CLEMENCEAU,78200,COLLEGE,Oui,Non,0,QP078001,BONNE
0783254N,Île-de-France,78,78361,MANTES LA JOLIE,COLLEGE,ANDRE CHENIER,2 RUE DIDEROT,78205,COLLEGE,Oui,Non,0,QP078001,BONNE
0781896M,Île-de-France,78,78361,MANTES LA JOLIE,COLLEGE,PASTEUR,41 RUE SAINT NICOLAS,78200,COLLEGE,Oui,Non,"144,5795221",QP078001,BONNE
0780116C,Île-de-France,78,78362,MANTES LA VILLE,COLLEGE,LES PLAISANCES,RUE JEAN MOULIN,78711,COLLEGE,Non,Oui,"91,74358136",QP078002,BONNE
0780180X,Île-de-France,78,78440,LES MUREAUX,COLLEGE,JULES VERNE,RUE ALBERT THOMAS,78130,COLLEGE,Oui,Non,"80,4184127",QP078021,MOYENNE
0780420H,Île-de-France,78,78490,PLAISIR,COLLEGE,BLAISE PASCAL,AVENUE GENERAL DE GAULLE,78373,COLLEGE,Non,Oui,"161,4995335",QP078017,MOYENNE
0780264N,Île-de-France,78,78498,POISSY,COLLEGE,LES GRANDS CHAMPS,137 AVENUE BLANCHE DE CASTILLE,78300,COLLEGE,Oui,Non,"103,1159861",QP078019,BONNE
0780577D,Île-de-France,78,78586,SARTROUVILLE,COLLEGE,ROMAIN ROLLAND,6 RUE DE MARSEILLE,78503,COLLEGE,Non,Oui,0,QP078015,BONNE
0783463R,Île-de-France,78,78586,SARTROUVILLE,COLLEGE,LOUIS PAULHAN,15 RUE GUY DE MAUPASSANT,78500,COLLEGE,Non,Oui,"171,2137674",QP078016,MOYENNE
0781618K,Île-de-France,78,78621,TRAPPES,COLLEGE,GUSTAVE COURBET,2 ALL+E VICTOR JARA,78190,COLLEGE,Non,Oui,"75,64037288",QP078006,BONNE
0780187E,Île-de-France,78,78621,TRAPPES,COLLEGE,YOURI GAGARINE,28 BOULEVARD MARTIN LUTHER KING,78190,COLLEGE,Oui,Non,"76,32702054",QP078006,MOYENNE
0780514K,Île-de-France,78,78621,TRAPPES,COLLEGE,LE VILLAGE,90 RUE DE MONTFORT,78194,COLLEGE,Non,Oui,"226,5782811",QP078006,MOYENNE
0790027A,Nouvelle Aquitaine,79,79191,NIORT,COLLEGE,JEAN ZAY,11 RUE JEAN ZAY,79000,COLLEGE,Non,Oui,"161,2707863",QP079001,BONNE
0801512J,Hauts de France,80,80001,ABBEVILLE,COLLEGE,DE PONTHIEU,AVENUE DU PRESIDENT COTY,80100,COLLEGE,Non,Oui,"64,42485662",QP080008,BONNE
0800019L,Hauts de France,80,80021,AMIENS,COLLEGE,CESAR FRANCK,RUE CESAR FRANCK,80015,COLLEGE,Oui,Non,0,QP080003,MOYENNE
0801263N,Hauts de France,80,80021,AMIENS,COLLEGE,ARTHUR RIMBAUD,15 AVENUE DE LA PAIX,80080,COLLEGE,Oui,Non,0,QP080003,MOYENNE
0801264P,Hauts de France,80,80021,AMIENS,COLLEGE,ETOUVIE,AVENUE DU LANGUEDOC,80012,COLLEGE,Oui,Non,0,QP080001,MOYENNE
0810787R,Occitanie,81,81060,CARMAUX,COLLEGE,VICTOR HUGO,17 RUE FERRER,81400,COLLEGE,Non,Oui,0,QP081009,BONNE
0810125W,Occitanie,81,81105,GRAULHET,COLLEGE,LOUIS PASTEUR,51 AVENUE CHARLES DE GAULLE,81302,COLLEGE,Non,Oui,"199,0620946",QP081011,BONNE
0820017Y,Occitanie,82,82112,MOISSAC,COLLEGE,FRANCOIS MITTERRAND,BOULEVARD DU LYCEE,82201,COLLEGE,Non,Oui,"249,3431078",QP082003,BONNE
0820588U,Occitanie,82,82121,MONTAUBAN,COLLEGE,OLYMPE DE GOUGES,570 RUE DU RAMIEROU,82017,COLLEGE,Non,Oui,"118,0672974",QP082002,BONNE
0830180V,Provence-Alpes-Côte d'Azur,83,83126,LA SEYNE SUR MER,COLLEGE,HENRI WALLON,150 AVENUE GERARD PHILIPE,83500,COLLEGE,Oui,Non,"151,355585",QP083008,BONNE
0830148K,Provence-Alpes-Côte d'Azur,83,83137,TOULON,COLLEGE,MAURICE GENEVOIX,BOULEVARD DES ARMARIS,83100,COLLEGE,Oui,Non,0,QP083015,BONNE
0830953K,Provence-Alpes-Côte d'Azur,83,83137,TOULON,COLLEGE,PEIRESC,BOULEVARD DE STRASBOURG,83000,COLLEGE,Non,Oui,"54,81148782",QP083016,BONNE
0830069Z,Provence-Alpes-Côte d'Azur,83,83137,TOULON,COLLEGE,PIERRE PUGET,RUE FELIX MAYOL,83069,COLLEGE,Non,Oui,"187,6959117",QP083013,BONNE
0840108L,Provence-Alpes-Côte d'Azur,84,84007,AVIGNON,COLLEGE,ANSELME MATHIEU,AVENUE DE LA REINE JEANNE,84082,COLLEGE,Oui,Non,"24,83773584",QP084002,BONNE
0840007B,Provence-Alpes-Côte d'Azur,84,84007,AVIGNON,COLLEGE,JOSEPH ROUMANILLE,17 AVENUE DE LA CROIX ROUGE,84000,COLLEGE,Oui,Non,"78,8159505",QP084002,BONNE
0840114T,Provence-Alpes-Côte d'Azur,84,84031,CARPENTRAS,COLLEGE,FRANCOIS RASPAIL,QUARTIER DE L ELEPHANT,84205,COLLEGE,Non,Oui,"33,84800075",QP084009,BONNE
0840761W,Provence-Alpes-Côte d'Azur,84,84031,CARPENTRAS,COLLEGE,ALPHONSE DAUDET,4 RUE JEAN MONNET,84201,COLLEGE,Oui,Non,"242,684161",QP084011,BONNE
0840018N,Provence-Alpes-Côte d'Azur,84,84035,CAVAILLON,COLLEGE,PAUL GAUTHIER,58 AVENUE ELSA TRIOLET,84300,COLLEGE,Oui,Non,"248,2961418",QP084020,BONNE
0840033E,Provence-Alpes-Côte d'Azur,84,84129,SORGUES,COLLEGE,VOLTAIRE,68 AVENUE GEORGE BRAQUE,84702,COLLEGE,Non,Oui,0,QP084001,MOYENNE
0850067L,Pays de la Loire,85,85092,FONTENAY LE COMTE,COLLEGE,ANDRE TIRAQUEAU,76 RUE DU GAINGALET,85205,COLLEGE,Non,Oui,"243,5911447",QP085004,BONNE
0860799B,Nouvelle Aquitaine,86,86041,BUXEROLLES,COLLEGE,JULES VERNE,2 ALL+E ERIC TABARLY,86180,COLLEGE,Non,Oui,"267,7285446",QP086005,BONNE
0860876K,Nouvelle Aquitaine,86,86066,CHATELLERAULT,COLLEGE,GEORGE SAND,11 RUE ARTHUR RANC,86100,COLLEGE,Oui,Non,"214,4862725",QP086001,BONNE
0860723U,Nouvelle Aquitaine,86,86194,POITIERS,COLLEGE,PIERRE DE RONSARD,50 RUE DE LA JAMBE A L'ANE,86000,COLLEGE,Non,Oui,"133,8148563",QP086004,BONNE
0870117E,Nouvelle Aquitaine,87,87085,LIMOGES,COLLEGE,ALBERT CALMETTE,ALL+E LARGILLIERE,87036,COLLEGE,Non,Oui,0,QP087005,BONNE
0870791M,Nouvelle Aquitaine,87,87085,LIMOGES,COLLEGE,ANATOLE FRANCE,7 ALL+E MARCEL PROUST,87280,COLLEGE,Non,Oui,0,QP087004,BONNE
0870072F,Nouvelle Aquitaine,87,87085,LIMOGES,COLLEGE,ANDRE MAUROIS,1 ALL+E ANDRE MAUROIS,87065,COLLEGE,Non,Oui,"83,50800786",QP087005,BONNE
0870729V,Nouvelle Aquitaine,87,87085,LIMOGES,COLLEGE,PIERRE DE RONSARD,98 RUE DE LA BREGERE,87065,COLLEGE,Oui,Non,"231,7278059",QP087002,BONNE
0880149J,Grand Est,88,88160,EPINAL,COLLEGE,SAINT EXUPERY,14 RUE CHARLES PERRAULT,88025,COLLEGE,Oui,Non,"95,30463446",QP088002,BONNE
0880151L,Grand Est,88,88413,SAINT DIE DES VOSGES,COLLEGE,VAUTRIN LUD,RUE DE LA TUILERIE,88108,COLLEGE,Non,Oui,"151,3719959",QP088005,MOYENNE
0890056C,Bourgogne-Franche-Comté,89,89024,AUXERRE,COLLEGE,BIENVENU MARTIN,3 AVENUE RODIN,89000,COLLEGE,Non,Oui,"119,1063212",QP089002,BONNE
0890937K,Bourgogne-Franche-Comté,89,89206,JOIGNY,COLLEGE,MARIE-NOEL,7 BOULEVARD DE GODALMING,89306,COLLEGE,Non,Oui,"94,76403714",QP089005,BONNE
0890977D,Bourgogne-Franche-Comté,89,89257,MIGENNES,COLLEGE,JACQUES PREVERT,6 RUE CLAUDE DEBUSSY,89400,COLLEGE,Non,Oui,"108,6575386",QP089004,BONNE
0890017K,Bourgogne-Franche-Comté,89,89257,MIGENNES,COLLEGE,PAUL FOURREY,1 RUE DU 4 SEPTEMBRE,89400,COLLEGE,Non,Oui,"156,8968968",QP089004,BONNE
0890790A,Bourgogne-Franche-Comté,89,89387,SENS,COLLEGE,CHAMPS PLAISANTS,5 RUE COLETTE,89106,COLLEGE,Non,Oui,"171,9946928",QP089006,BONNE
0900351T,Bourgogne-Franche-Comté,90,90010,BELFORT,COLLEGE,SIMONE SIGNORET,8 RUE DE ZAPOROJIE,90000,COLLEGE,Oui,Non,"58,0039773",QP090004,BONNE
0900006T,Bourgogne-Franche-Comté,90,90010,BELFORT,COLLEGE,LEONARD DE VINCI,17 FAUBOURG DE LYON,90016,COLLEGE,Non,Oui,"132,2576161",QP090004,BONNE
0911027X,Île-de-France,91,91027,ATHIS MONS,COLLEGE,MICHEL RICHARD DELALANDE,4 RUE G ANTHONIOZ DE GAULLE,91200,COLLEGE,Non,Oui,"96,58139107",QP091029,BONNE
0911024U,Île-de-France,91,91174,CORBEIL ESSONNES,COLLEGE,LOUISE MICHEL,21 CHEMIN DES MOZARDS,91100,COLLEGE,Oui,Non,"4,052705409",QP091003,MOYENNE
0911570M,Île-de-France,91,91174,CORBEIL ESSONNES,COLLEGE,LEOPOLD SEDAR SENGHOR,10 AVENUE DU GENERAL DE GAULLE,91100,COLLEGE,Oui,Non,"67,14263539",QP091002,BONNE
0911443Z,Île-de-France,91,91174,CORBEIL ESSONNES,COLLEGE,LA NACELLE,8 RUE DE LA NACELLE,91107,COLLEGE,Non,Oui,"178,8679277",QP091004,MOYENNE
0911397Z,Île-de-France,91,91215,EPINAY SOUS SENART,COLLEGE,LA VALLEE,RUE DU 19 MARS 1962,91860,COLLEGE,Non,Oui,"66,96826476",QP091012,BONNE
0911402E,Île-de-France,91,91223,ETAMPES,COLLEGE,DE GUINETTE,AVENUE DES MEUNIERS,91150,COLLEGE,Non,Oui,0,QP091037,BONNE
0911729K,Île-de-France,91,91228,EVRY,COLLEGE,LES PYRAMIDES,400 SQUARE JACQUES PREVERT,91007,COLLEGE,Oui,Non,0,QP091017,BONNE
0912173T,Île-de-France,91,91228,EVRY,COLLEGE,GALILEE,10 PLACE DES FEDERES,91005,COLLEGE,Non,Oui,0,QP091023,MOYENNE
0911865H,Île-de-France,91,91228,EVRY,COLLEGE,PAUL ELUARD,RUE CHARLES FOURIER,91035,COLLEGE,Non,Oui,"79,94007329",QP091023,BONNE
0911036G,Île-de-France,91,91286,GRIGNY,COLLEGE,JEAN VILAR,6 VOIE ATHENA,91351,COLLEGE,Oui,Non,0,QP091026,BONNE
0911253T,Île-de-France,91,91286,GRIGNY,COLLEGE,PABLO NERUDA,4 VENELLE LOUISE MICHEL,91350,COLLEGE,Oui,Non,"62,25297461",QP091027,MOYENNE
0912196T,Île-de-France,91,91286,GRIGNY,COLLEGE,SONIA DELAUNAY,8 PROMENADE DU CANAL,91350,COLLEGE,Oui,Non,"163,5403198",QP091026,BONNE
