NUMERO_UAI,Région,Département,Code_commune_Insee,Libellé Commune,Dénomination établissement,Patromyne établissement,Adresse_établissement,Code_postal,Type_établissement,Rep+,Rep,DISTANCE_QPV le plus proche,QPV,Qualité
0300025P,Occitanie,30,30189,NIMES,COLLEGE,ROMAIN ROLLAND,8 AVENUE DE LATTRE DE TASSIGNY,30002,COLLEGE,Oui,Non,0,QP030005,BONNE
0300141R,Occitanie,30,30189,NIMES,COLLEGE,CONDORCET,691 RUE BELLINI,30903,COLLEGE,Oui,Non,0,QP030003,BONNE
0301010K,Occitanie,30,30189,NIMES,COLLEGE,JULES VALLES,175 AVENUE ND DE SANTA CRUZ,30000,COLLEGE,Oui,Non,0,QP030006,BONNE
0301094B,Occitanie,30,30189,NIMES,COLLEGE,DIDEROT,601 RUE NEPER,30905,COLLEGE,Oui,Non,0,QP030003,BONNE
0301098F,Occitanie,30,30189,NIMES,COLLEGE,LES OLIVIERS,35 RUE DES AMOUREUX,30001,COLLEGE,Non,Oui,"80,76894586",QP030008,BONNE
0311235Z,Occitanie,31,31555,TOULOUSE,COLLEGE,BELLEFONTAINE,CHEMINEMENT FRANCISCO GOYA,31037,COLLEGE,Oui,Non,0,QP031007,BONNE
0311321T,Occitanie,31,31555,TOULOUSE,COLLEGE,RAYMOND BADIOU,1 RUE DE KIEV,31036,COLLEGE,Oui,Non,0,QP031007,BONNE
0311630D,Occitanie,31,31555,TOULOUSE,COLLEGE,STENDHAL,59 RUE PAUL LAMBERT,31023,COLLEGE,Oui,Non,0,QP031007,BONNE
0311718Z,Occitanie,31,31555,TOULOUSE,COLLEGE,NICOLAS VAUQUELIN,161 RUE VAUQUELIN,31035,COLLEGE,Non,Oui,"50,33913846",QP031007,BONNE
0311265G,Occitanie,31,31555,TOULOUSE,COLLEGE,ROSA PARKS,44 CHEMIN DU SEMINAIRE,31021,COLLEGE,Oui,Non,"205,3064963",QP031011,BONNE
0310086A,Occitanie,31,31555,TOULOUSE,COLLEGE,GEORGE SAND,355 ROUTE DE SAINT SIMON,31100,COLLEGE,Oui,Non,"266,7875915",QP031007,BONNE
0330140Y,Nouvelle Aquitaine,33,33063,BORDEAUX,COLLEGE,GRAND PARC,25 RUE PIERRE TREBOD,33300,COLLEGE,Non,Oui,"4,604542291",QP033010,MOYENNE
0332285E,Nouvelle Aquitaine,33,33063,BORDEAUX,COLLEGE,JACQUES ELLUL,2 RUE DU PROFESSEUR CALMETTE,33100,COLLEGE,Non,Oui,"24,72948681",QP033009,BONNE
0331462K,Nouvelle Aquitaine,33,33063,BORDEAUX,COLLEGE,FRANCISCO GOYA,56 RUE DU CDT ARNOULD,33023,COLLEGE,Non,Oui,"287,5035406",QP033008,BONNE
0331464M,Nouvelle Aquitaine,33,33119,CENON,COLLEGE,JEAN ZAY,AVENUE JEAN ZAY,33151,COLLEGE,Non,Oui,0,QP033012,MOYENNE
0331885V,Nouvelle Aquitaine,33,33119,CENON,COLLEGE,JEAN JAURES,32 AVENUE DES 4 PAVILLONS,33151,COLLEGE,Non,Oui,"214,0614774",QP033012,MOYENNE
0332189A,Nouvelle Aquitaine,33,33167,FLOIRAC,COLLEGE,NELSON MANDELA,20 AVENUE DE LA LIBERATION,33271,COLLEGE,Non,Oui,0,QP033014,BONNE
0331619F,Nouvelle Aquitaine,33,33249,LORMONT,COLLEGE,GEORGES LAPIERRE,2 RUE PIERRE BROSSOLETTE,33305,COLLEGE,Oui,Non,0,QP033018,BONNE
0331895F,Nouvelle Aquitaine,33,33249,LORMONT,COLLEGE,MONTAIGNE,ESPLANADE FRANCOIS MITTERRAND,33305,COLLEGE,Oui,Non,"75,86028333",QP033017,MOYENNE
0340836Z,Occitanie,34,34032,BEZIERS,COLLEGE,PAUL RIQUET,PLACE DU GENERAL DE GAULLE,34500,COLLEGE,Oui,Non,0,QP034001,BONNE
0340118U,Occitanie,34,34032,BEZIERS,COLLEGE,HENRI IV,1 RUE IGNACE BRUNEL,34544,COLLEGE,Non,Oui,0,QP034001,BONNE
0341321B,Occitanie,34,34032,BEZIERS,COLLEGE,KATIA ET MAURICE KRAFFT,BOULEVARD YVES DU MANOIR,34513,COLLEGE,Oui,Non,"54,17063553",QP034003,BONNE
0341066Z,Occitanie,34,34032,BEZIERS,COLLEGE,JEAN PERRIN,1 AVENUE PIERRE VILLON,34514,COLLEGE,Non,Oui,"189,5213459",QP034002,BONNE
0340031Z,Occitanie,34,34145,LUNEL,COLLEGE,FREDERIC MISTRAL,136 RUE DES ETOFFES,34400,COLLEGE,Non,Oui,"23,87428046",QP034021,BONNE
0340109J,Occitanie,34,34172,MONTPELLIER,COLLEGE,LES GARRIGUES,145 AVENUE DU COMTE DE NICE,34085,COLLEGE,Oui,Non,0,QP034005,BONNE
0340996Y,Occitanie,34,34172,MONTPELLIER,COLLEGE,LES ESCHOLIERS DE LA MOSSON,70 AVENUE DU BITERROIS,34080,COLLEGE,Oui,Non,0,QP034005,BONNE
0340955D,Occitanie,34,34172,MONTPELLIER,COLLEGE,LAS CAZES,125 RUE CANTEGRIL,34000,COLLEGE,Oui,Non,"37,64928422",QP034008,BONNE
0341592W,Occitanie,34,34172,MONTPELLIER,COLLEGE,MARCEL PAGNOL,95 RUE TOPAZE,34070,COLLEGE,Non,Oui,"101,4747218",QP034007,BONNE
0341278E,Occitanie,34,34172,MONTPELLIER,COLLEGE,ARTHUR RIMBAUD,RUE MARIUS PETIPA,34080,COLLEGE,Oui,Non,"181,0205183",QP034004,BONNE
0350963G,Bretagne,35,35238,RENNES,COLLEGE,DES HAUTES OURMES,7 AVENUE DE POLOGNE,35204,COLLEGE,Oui,Non,0,QP035005,BONNE
